Time,Current,State
0.0,0.0,0
0.001,1.0,1
0.002,0.0,0
0.003,0.0,0
0.004,0.0,0
0.005,1.0,1
0.006,1.0,1
0.007,1.0,1
0.008,0.0,0
0.009000000000000001,1.0,1
0.01,1.0,1
0.011,1.0,1
0.012,1.0,1
0.013000000000000001,0.0,0
0.014,2.0,2
0.015,2.0,2
0.016,0.0,0
0.017,0.0,0
0.018000000000000002,0.0,0
0.019,0.0,0
0.02,0.0,0
0.021,0.0,0
0.022,0.0,0
0.023,2.0,2
0.024,1.0,1
0.025,1.0,1
0.026000000000000002,1.0,1
0.027,1.0,1
0.028,1.0,1
0.029,0.0,0
0.03,0.0,0
0.031,0.0,0
0.032,1.0,1
0.033,1.0,1
0.034,1.0,1
0.035,1.0,1
0.036000000000000004,1.0,1
0.037,0.0,0
0.038,0.0,0
0.039,0.0,0
0.04,0.0,0
0.041,0.0,0
0.042,0.0,0
0.043000000000000003,2.0,2
0.044,2.0,2
0.045,1.0,1
0.046,1.0,1
0.047,0.0,0
0.048,0.0,0
0.049,0.0,0
0.05,2.0,2
0.051000000000000004,0.0,0
0.052000000000000005,0.0,0
0.053,0.0,0
0.054,0.0,0
0.055,0.0,0
0.056,0.0,0
0.057,0.0,0
0.058,0.0,0
0.059000000000000004,0.0,0
0.06,0.0,0
0.061,0.0,0
0.062,0.0,0
0.063,0.0,0
0.064,1.0,1
0.065,0.0,0
0.066,0.0,0
0.067,0.0,0
0.068,0.0,0
0.069,0.0,0
0.07,0.0,0
0.07100000000000001,0.0,0
0.07200000000000001,0.0,0
0.073,0.0,0
0.074,2.0,2
0.075,2.0,2
0.076,1.0,1
0.077,0.0,0
0.078,0.0,0
0.079,0.0,0
0.08,0.0,0
0.081,0.0,0
0.082,0.0,0
0.083,0.0,0
0.084,0.0,0
0.085,0.0,0
0.08600000000000001,1.0,1
0.08700000000000001,0.0,0
0.088,0.0,0
0.089,1.0,1
0.09,0.0,0
0.091,1.0,1
0.092,0.0,0
0.093,0.0,0
0.094,1.0,1
0.095,0.0,0
0.096,2.0,2
0.097,2.0,2
0.098,2.0,2
0.099,2.0,2
0.1,1.0,1
0.101,0.0,0
0.10200000000000001,0.0,0
0.10300000000000001,0.0,0
0.10400000000000001,0.0,0
0.105,0.0,0
0.106,0.0,0
0.107,0.0,0
0.108,0.0,0
0.109,0.0,0
0.11,0.0,0
0.111,0.0,0
0.112,2.0,2
0.113,2.0,2
0.114,2.0,2
0.115,0.0,0
0.116,2.0,2
0.117,2.0,2
0.11800000000000001,2.0,2
0.11900000000000001,2.0,2
0.12,0.0,0
0.121,0.0,0
0.122,0.0,0
0.123,0.0,0
0.124,0.0,0
0.125,1.0,1
0.126,0.0,0
0.127,1.0,1
0.128,0.0,0
0.129,0.0,0
0.13,0.0,0
0.131,0.0,0
0.132,1.0,1
0.133,1.0,1
0.134,0.0,0
0.135,0.0,0
0.136,0.0,0
0.137,2.0,2
0.138,2.0,2
0.139,2.0,2
0.14,2.0,2
0.14100000000000001,2.0,2
0.14200000000000002,2.0,2
0.14300000000000002,2.0,2
0.14400000000000002,0.0,0
0.145,1.0,1
0.146,1.0,1
0.147,0.0,0
0.148,2.0,2
0.149,2.0,2
0.15,2.0,2
0.151,0.0,0
0.152,0.0,0
0.153,0.0,0
0.154,0.0,0
0.155,1.0,1
0.156,1.0,1
0.157,0.0,0
0.158,0.0,0
0.159,0.0,0
0.16,0.0,0
0.161,0.0,0
0.162,1.0,1
0.163,1.0,1
0.164,1.0,1
0.165,0.0,0
0.166,0.0,0
0.167,0.0,0
0.168,0.0,0
0.169,0.0,0
