Time,Current,State
0.0,0.0,0
0.001,0.0,0
0.002,0.0,0
0.003,2.0,2
0.004,2.0,2
0.005,2.0,2
0.006,0.0,0
0.007,0.0,0
0.008,1.0,1
0.009000000000000001,1.0,1
0.01,0.0,0
0.011,1.0,1
0.012,1.0,1
0.013000000000000001,1.0,1
0.014,1.0,1
0.015,1.0,1
0.016,1.0,1
0.017,0.0,0
0.018000000000000002,0.0,0
0.019,1.0,1
0.02,1.0,1
0.021,0.0,0
0.022,0.0,0
0.023,0.0,0
0.024,0.0,0
0.025,0.0,0
0.026000000000000002,1.0,1
0.027,1.0,1
0.028,1.0,1
0.029,1.0,1
0.03,1.0,1
0.031,1.0,1
0.032,1.0,1
0.033,1.0,1
0.034,1.0,1
0.035,1.0,1
0.036000000000000004,1.0,1
0.037,0.0,0
0.038,2.0,2
0.039,2.0,2
0.04,2.0,2
0.041,2.0,2
0.042,2.0,2
0.043000000000000003,2.0,2
0.044,2.0,2
0.045,2.0,2
0.046,2.0,2
0.047,2.0,2
0.048,2.0,2
0.049,2.0,2
0.05,2.0,2
0.051000000000000004,2.0,2
0.052000000000000005,2.0,2
0.053,0.0,0
0.054,0.0,0
0.055,2.0,2
0.056,2.0,2
0.057,2.0,2
0.058,2.0,2
0.059000000000000004,2.0,2
0.06,2.0,2
0.061,2.0,2
0.062,2.0,2
0.063,0.0,0
0.064,2.0,2
0.065,2.0,2
0.066,2.0,2
0.067,1.0,1
0.068,1.0,1
0.069,1.0,1
0.07,1.0,1
0.07100000000000001,1.0,1
0.07200000000000001,0.0,0
0.073,0.0,0
0.074,1.0,1
0.075,1.0,1
0.076,1.0,1
0.077,1.0,1
0.078,0.0,0
0.079,2.0,2
0.08,2.0,2
0.081,2.0,2
0.082,2.0,2
0.083,2.0,2
0.084,2.0,2
0.085,2.0,2
0.08600000000000001,1.0,1
0.08700000000000001,0.0,0
0.088,1.0,1
0.089,1.0,1
0.09,0.0,0
0.091,0.0,0
0.092,0.0,0
0.093,1.0,1
0.094,1.0,1
0.095,0.0,0
0.096,2.0,2
0.097,2.0,2
0.098,0.0,0
0.099,1.0,1
0.1,1.0,1
0.101,0.0,0
0.10200000000000001,0.0,0
0.10300000000000001,0.0,0
0.10400000000000001,2.0,2
0.105,2.0,2
0.106,0.0,0
0.107,0.0,0
0.108,2.0,2
0.109,2.0,2
0.11,2.0,2
0.111,2.0,2
0.112,2.0,2
0.113,2.0,2
0.114,2.0,2
0.115,2.0,2
0.116,2.0,2
0.117,0.0,0
0.11800000000000001,0.0,0
0.11900000000000001,0.0,0
0.12,1.0,1
0.121,0.0,0
0.122,2.0,2
0.123,0.0,0
0.124,0.0,0
0.125,1.0,1
0.126,0.0,0
0.127,0.0,0
0.128,0.0,0
0.129,0.0,0
0.13,1.0,1
0.131,1.0,1
0.132,1.0,1
0.133,0.0,0
0.134,0.0,0
0.135,2.0,2
0.136,2.0,2
0.137,2.0,2
0.138,2.0,2
0.139,1.0,1
0.14,1.0,1
0.14100000000000001,1.0,1
0.14200000000000002,1.0,1
0.14300000000000002,0.0,0
0.14400000000000002,2.0,2
0.145,2.0,2
0.146,0.0,0
0.147,1.0,1
0.148,1.0,1
0.149,1.0,1
0.15,0.0,0
0.151,0.0,0
0.152,1.0,1
0.153,0.0,0
0.154,0.0,0
0.155,2.0,2
0.156,2.0,2
0.157,2.0,2
0.158,2.0,2
0.159,2.0,2
0.16,2.0,2
0.161,1.0,1
0.162,1.0,1
0.163,0.0,0
0.164,0.0,0
0.165,1.0,1
0.166,1.0,1
0.167,1.0,1
0.168,1.0,1
0.169,1.0,1
0.17,1.0,1
0.171,0.0,0
0.17200000000000001,0.0,0
0.17300000000000001,1.0,1
0.17400000000000002,1.0,1
0.17500000000000002,1.0,1
0.176,1.0,1
0.177,1.0,1
0.178,0.0,0
0.179,2.0,2
0.18,2.0,2
0.181,2.0,2
0.182,2.0,2
0.183,2.0,2
0.184,2.0,2
0.185,2.0,2
0.186,2.0,2
0.187,2.0,2
0.188,2.0,2
0.189,2.0,2
0.19,2.0,2
0.191,2.0,2
0.192,2.0,2
0.193,0.0,0
0.194,0.0,0
0.195,0.0,0
0.196,0.0,0
0.197,1.0,1
0.198,0.0,0
0.199,1.0,1
0.2,1.0,1
0.201,1.0,1
0.202,1.0,1
0.203,1.0,1
0.20400000000000001,0.0,0
0.20500000000000002,1.0,1
0.20600000000000002,0.0,0
0.20700000000000002,2.0,2
0.20800000000000002,2.0,2
0.209,2.0,2
0.21,2.0,2
0.211,2.0,2
0.212,2.0,2
0.213,2.0,2
0.214,2.0,2
0.215,2.0,2
0.216,2.0,2
0.217,0.0,0
0.218,1.0,1
0.219,1.0,1
0.22,1.0,1
0.221,1.0,1
0.222,1.0,1
0.223,1.0,1
0.224,1.0,1
0.225,1.0,1
0.226,1.0,1
0.227,1.0,1
0.228,0.0,0
0.229,0.0,0
0.23,0.0,0
0.231,0.0,0
0.232,0.0,0
0.233,0.0,0
0.234,0.0,0
0.23500000000000001,1.0,1
0.23600000000000002,1.0,1
0.23700000000000002,1.0,1
0.23800000000000002,1.0,1
0.23900000000000002,1.0,1
0.24,1.0,1
0.241,0.0,0
0.242,2.0,2
0.243,2.0,2
0.244,2.0,2
0.245,2.0,2
0.246,2.0,2
0.247,2.0,2
0.248,2.0,2
0.249,0.0,0
0.25,2.0,2
0.251,2.0,2
0.252,2.0,2
0.253,2.0,2
0.254,2.0,2
0.255,2.0,2
0.256,2.0,2
0.257,2.0,2
0.258,2.0,2
0.259,2.0,2
0.26,2.0,2
0.261,2.0,2
0.262,2.0,2
0.263,2.0,2
0.264,2.0,2
0.265,2.0,2
0.266,0.0,0
0.267,0.0,0
0.268,0.0,0
0.269,2.0,2
0.27,2.0,2
0.271,2.0,2
0.272,2.0,2
0.273,2.0,2
0.274,2.0,2
0.275,2.0,2
0.276,2.0,2
0.277,2.0,2
0.278,2.0,2
0.279,0.0,0
0.28,0.0,0
0.281,1.0,1
0.28200000000000003,0.0,0
0.28300000000000003,1.0,1
0.28400000000000003,1.0,1
0.28500000000000003,1.0,1
0.28600000000000003,1.0,1
0.28700000000000003,1.0,1
0.28800000000000003,0.0,0
0.289,0.0,0
0.29,0.0,0
0.291,1.0,1
0.292,0.0,0
0.293,0.0,0
0.294,0.0,0
0.295,0.0,0
0.296,2.0,2
0.297,2.0,2
0.298,2.0,2
0.299,2.0,2
0.3,2.0,2
0.301,2.0,2
0.302,2.0,2
0.303,2.0,2
0.304,2.0,2
0.305,2.0,2
0.306,2.0,2
0.307,2.0,2
0.308,2.0,2
0.309,2.0,2
0.31,2.0,2
0.311,2.0,2
0.312,2.0,2
0.313,2.0,2
0.314,2.0,2
0.315,2.0,2
0.316,0.0,0
0.317,1.0,1
0.318,1.0,1
0.319,0.0,0
0.32,0.0,0
0.321,0.0,0
0.322,2.0,2
0.323,2.0,2
0.324,1.0,1
0.325,0.0,0
0.326,0.0,0
0.327,0.0,0
0.328,1.0,1
0.329,1.0,1
0.33,1.0,1
0.331,0.0,0
0.332,0.0,0
0.333,0.0,0
0.334,2.0,2
0.335,2.0,2
0.336,1.0,1
0.337,1.0,1
0.338,1.0,1
0.339,1.0,1
