Time,Current,State
0.0,0.0,0
0.001,1.0,1
0.002,0.0,0
0.003,0.0,0
0.004,0.0,0
0.005,1.0,1
0.006,1.0,1
0.007,0.0,0
0.008,1.0,1
0.009000000000000001,1.0,1
0.01,1.0,1
0.011,1.0,1
0.012,1.0,1
0.013000000000000001,1.0,1
0.014,0.0,0
0.015,0.0,0
0.016,1.0,1
0.017,0.0,0
0.018000000000000002,2.0,2
0.019,0.0,0
0.02,1.0,1
0.021,1.0,1
0.022,1.0,1
0.023,0.0,0
0.024,1.0,1
0.025,0.0,0
0.026000000000000002,1.0,1
0.027,1.0,1
0.028,1.0,1
0.029,0.0,0
0.03,1.0,1
0.031,1.0,1
0.032,1.0,1
0.033,1.0,1
0.034,1.0,1
0.035,1.0,1
0.036000000000000004,0.0,0
0.037,2.0,2
0.038,2.0,2
0.039,0.0,0
0.04,1.0,1
0.041,1.0,1
0.042,1.0,1
0.043000000000000003,0.0,0
0.044,2.0,2
0.045,0.0,0
0.046,1.0,1
0.047,1.0,1
0.048,1.0,1
0.049,1.0,1
0.05,1.0,1
0.051000000000000004,1.0,1
0.052000000000000005,1.0,1
0.053,1.0,1
0.054,1.0,1
0.055,0.0,0
0.056,2.0,2
0.057,2.0,2
0.058,2.0,2
0.059000000000000004,0.0,0
0.06,0.0,0
0.061,0.0,0
0.062,1.0,1
0.063,1.0,1
0.064,1.0,1
0.065,1.0,1
0.066,1.0,1
0.067,1.0,1
0.068,1.0,1
0.069,1.0,1
0.07,1.0,1
0.07100000000000001,0.0,0
0.07200000000000001,1.0,1
0.073,0.0,0
0.074,1.0,1
0.075,0.0,0
0.076,1.0,1
0.077,1.0,1
0.078,1.0,1
0.079,0.0,0
0.08,0.0,0
0.081,0.0,0
0.082,1.0,1
0.083,0.0,0
0.084,0.0,0
0.085,0.0,0
0.08600000000000001,1.0,1
0.08700000000000001,1.0,1
0.088,1.0,1
0.089,1.0,1
0.09,0.0,0
0.091,1.0,1
0.092,1.0,1
0.093,0.0,0
0.094,1.0,1
0.095,0.0,0
0.096,1.0,1
0.097,1.0,1
0.098,0.0,0
0.099,0.0,0
0.1,2.0,2
0.101,1.0,1
0.10200000000000001,1.0,1
0.10300000000000001,0.0,0
0.10400000000000001,0.0,0
0.105,1.0,1
0.106,0.0,0
0.107,1.0,1
0.108,1.0,1
0.109,0.0,0
0.11,1.0,1
0.111,0.0,0
0.112,1.0,1
0.113,1.0,1
0.114,0.0,0
0.115,1.0,1
0.116,0.0,0
0.117,0.0,0
0.11800000000000001,0.0,0
0.11900000000000001,2.0,2
0.12,0.0,0
0.121,0.0,0
0.122,2.0,2
0.123,2.0,2
0.124,0.0,0
0.125,0.0,0
0.126,1.0,1
0.127,1.0,1
0.128,1.0,1
0.129,1.0,1
0.13,1.0,1
0.131,0.0,0
0.132,1.0,1
0.133,0.0,0
0.134,1.0,1
0.135,1.0,1
0.136,1.0,1
0.137,0.0,0
0.138,0.0,0
0.139,0.0,0
0.14,1.0,1
0.14100000000000001,0.0,0
0.14200000000000002,0.0,0
0.14300000000000002,1.0,1
0.14400000000000002,1.0,1
0.145,0.0,0
0.146,2.0,2
0.147,2.0,2
0.148,2.0,2
0.149,2.0,2
0.15,2.0,2
0.151,2.0,2
0.152,2.0,2
0.153,2.0,2
0.154,0.0,0
0.155,1.0,1
0.156,0.0,0
0.157,0.0,0
0.158,1.0,1
0.159,1.0,1
0.16,1.0,1
0.161,0.0,0
0.162,1.0,1
0.163,1.0,1
0.164,0.0,0
0.165,1.0,1
0.166,1.0,1
0.167,1.0,1
0.168,1.0,1
0.169,0.0,0
