peptide_name,peptide_sequence,nanopore_name,user,voltage,buffer,data_file,data_path,time_sampling,simulation,experimental,comments
PeptideA,,,bakrantz,,,peptide_A_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideA,,,bakrantz,,,peptide_A_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideA,,,bakrantz,,,peptide_A_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideB,,,bakrantz,,,peptide_B_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideB,,,bakrantz,,,peptide_B_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideB,,,bakrantz,,,peptide_B_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideC,,,bakrantz,,,peptide_C_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideC,,,bakrantz,,,peptide_C_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideC,,,bakrantz,,,peptide_C_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideD,,,bakrantz,,,peptide_D_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideD,,,bakrantz,,,peptide_D_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideD,,,bakrantz,,,peptide_D_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideE,,,bakrantz,,,peptide_E_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideE,,,bakrantz,,,peptide_E_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideE,,,bakrantz,,,peptide_E_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideF,,,bakrantz,,,peptide_F_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideF,,,bakrantz,,,peptide_F_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideF,,,bakrantz,,,peptide_F_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideG,,,bakrantz,,,peptide_G_simulated_single_channel_data_1500s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.2 std dev)"
PeptideG,,,bakrantz,,,peptide_G_simulated_single_channel_data_1500s_noisy.csv,,1000,TRUE,FALSE,"3-state, Gaussian noise (0.1 std dev)"
PeptideG,,,bakrantz,,,peptide_G_simulated_single_channel_data_1500s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideH,,,bakrantz,,,peptide_H_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.2 std dev)"
PeptideH,,,bakrantz,,,peptide_H_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.1 std dev)"
PeptideH,,,bakrantz,,,peptide_H_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"4-state, Idealized, no noise"
