transition,kinetic_param,best_property,best_r_squared,best_p_value,n_points
0->1,A_slow,aromaticity,0.6640,0.0256,7
0->1,A_fast,Eisenberg,0.5277,0.0645,7
0->1,log_tau_fast,Eisenberg,0.5113,0.0709,7
0->1,log_tau_slow,Engelman_GES,0.3515,0.1607,7
0->1,log_tau_middle,Engelman_GES,0.1461,0.3974,7
0->1,A_middle,Engelman_GES,0.1164,0.4540,7
0->1,log_tau_mean,Cornette,0.1126,0.4618,7
0->2,log_tau_middle,Kyte-Doolittle,0.8733,0.0063,6
0->2,log_tau_mean,Cornette,0.7988,0.0067,7
0->2,log_tau_slow,Cornette,0.7512,0.0255,6
0->2,A_middle,mol_wt,0.4445,0.1481,6
0->2,A_fast,Engelman_GES,0.3849,0.1372,7
0->2,log_tau_fast,Kyte-Doolittle,0.3599,0.1545,7
0->2,A_slow,Cornette,0.3585,0.2092,6
0->3,log_tau_middle,num_rings,0.7500,0.1340,4
0->3,log_tau_slow,num_rings,0.7500,0.1340,4
0->3,log_tau_fast,mol_wt,0.4432,0.1026,7
0->3,A_middle,num_rings,0.4324,0.3424,4
0->3,A_slow,num_rings,0.4324,0.3424,4
0->3,log_tau_mean,mol_wt,0.0876,0.5193,7
0->3,A_fast,mol_wt,0.0772,0.5464,7
1->0,A_slow,Engelman_GES,0.4126,0.1198,7
1->0,log_tau_fast,num_rings,0.2912,0.2112,7
1->0,A_fast,Cornette,0.2783,0.2237,7
1->0,log_tau_slow,Janin,0.2688,0.2332,7
1->0,log_tau_middle,num_rings,0.2268,0.2800,7
1->0,A_middle,Song,0.1216,0.4433,7
1->0,log_tau_mean,Cornette,0.0725,0.5593,7
1->2,A_slow,Engelman_GES,0.6341,0.0321,7
1->2,log_tau_fast,Ooi,0.4740,0.0872,7
1->2,log_tau_mean,num_rings,0.3603,0.1541,7
1->2,A_fast,Cornette,0.3257,0.1809,7
1->2,A_middle,Krantz,0.3047,0.1988,7
1->2,log_tau_middle,Cornette,0.2393,0.2652,7
1->2,log_tau_slow,num_rings,0.2267,0.2801,7
1->3,log_tau_mean,num_rings,0.6364,0.0316,7
1->3,A_slow,Cornette,0.5547,0.0548,7
1->3,A_fast,Song,0.4922,0.0790,7
1->3,log_tau_slow,Cornette,0.4048,0.1245,7
1->3,log_tau_fast,Janin,0.3853,0.1369,7
1->3,log_tau_middle,num_rings,0.2668,0.2352,7
1->3,A_middle,aromaticity,0.2174,0.2916,7
2->0,log_tau_slow,Kyte-Doolittle,0.8668,0.0215,5
2->0,A_slow,Tanford,0.7850,0.0454,5
2->0,log_tau_mean,Song,0.6588,0.0266,7
2->0,A_middle,Hopp-Woods,0.5205,0.1689,5
2->0,log_tau_fast,Engelman_GES,0.4148,0.1185,7
2->0,A_fast,Engelman_GES,0.4129,0.1196,7
2->0,log_tau_middle,Ooi,0.3700,0.2764,5
2->1,log_tau_middle,Song,0.6446,0.0297,7
2->1,log_tau_mean,mol_wt,0.6321,0.0326,7
2->1,A_slow,Engelman_GES,0.5244,0.0657,7
2->1,A_fast,aromaticity,0.4873,0.0811,7
2->1,A_middle,Krantz,0.4018,0.1263,7
2->1,log_tau_fast,Song,0.3967,0.1295,7
2->1,log_tau_slow,Eisenberg,0.0931,0.5058,7
2->3,log_tau_slow,mol_wt,0.5371,0.0610,7
2->3,log_tau_middle,Cornette,0.5079,0.0723,7
2->3,A_middle,Cornette,0.5078,0.0723,7
2->3,A_slow,mol_wt,0.4317,0.1088,7
2->3,log_tau_mean,Cornette,0.3627,0.1525,7
2->3,log_tau_fast,mol_wt,0.1876,0.3317,7
2->3,A_fast,mol_wt,0.0000,1.0000,7
