transition,kinetic_param,Cornette,Eisenberg,Engelman_GES,Hopp-Woods,Janin,Krantz,Kyte-Doolittle,Ooi,Rose,Song,Tanford,aromaticity,mol_wt,num_rings
0->1,A_fast,0.4170,0.5277,0.0338,0.3461,0.2382,0.3650,0.0817,0.1765,0.4380,0.3272,0.3461,0.2222,0.1367,0.1765
0->1,A_middle,0.0152,0.0090,0.1164,0.0243,0.0432,0.0661,0.0006,0.0366,0.0458,0.0111,0.0243,0.0000,0.0286,0.0242
0->1,A_slow,0.0009,0.0297,0.2324,0.3616,0.2275,0.0409,0.4372,0.3417,0.0167,0.4512,0.3616,0.6640,0.5722,0.4553
0->1,log_tau_fast,0.3646,0.5113,0.2286,0.2074,0.3533,0.4681,0.1908,0.3646,0.4763,0.1727,0.2074,0.0561,0.0681,0.0578
0->1,log_tau_mean,0.1126,0.0122,0.0466,0.0500,0.0003,0.0311,0.0090,0.0266,0.0905,0.0652,0.0500,0.0108,0.0730,0.0023
0->1,log_tau_middle,0.0070,0.0172,0.1461,0.0016,0.0423,0.0558,0.0318,0.0794,0.0448,0.0002,0.0016,0.0133,0.0016,0.0026
0->1,log_tau_slow,0.0002,0.0205,0.3515,0.0821,0.1361,0.0614,0.1920,0.2204,0.0077,0.1244,0.0821,0.2260,0.1095,0.1395
0->2,A_fast,0.1705,0.2727,0.3849,0.0268,0.1582,0.1019,0.2037,0.0929,0.2309,0.0069,0.0268,0.1250,0.0078,0.0049
0->2,A_middle,0.1304,0.0000,0.0110,0.3109,0.0553,0.0150,0.0959,0.0095,0.1661,0.3978,0.3109,0.2186,0.4445,0.1605
0->2,A_slow,0.3585,0.0396,0.0470,0.0704,0.0079,0.0068,0.0109,0.0021,0.0677,0.1183,0.0704,0.0604,0.0550,0.0055
0->2,log_tau_fast,0.2355,0.1232,0.0916,0.0422,0.0620,0.0094,0.3599,0.0873,0.0206,0.0498,0.0422,0.0041,0.1026,0.1235
0->2,log_tau_mean,0.7988,0.3558,0.0929,0.2726,0.0744,0.2191,0.1505,0.1503,0.4835,0.3101,0.2726,0.2021,0.1819,0.0446
0->2,log_tau_middle,0.3684,0.3248,0.2010,0.0987,0.3325,0.1520,0.8733,0.5386,0.0335,0.1047,0.0987,0.3226,0.3129,0.3098
0->2,log_tau_slow,0.7512,0.3401,0.1885,0.0121,0.1855,0.2675,0.5094,0.4888,0.2654,0.0227,0.0121,0.0588,0.0026,0.0660
0->3,A_fast,0.0047,0.0047,0.0145,0.0382,0.0024,0.0193,0.0104,0.0109,0.0298,0.0524,0.0382,0.0017,0.0772,0.0068
0->3,A_middle,0.3992,0.0053,0.0088,0.2229,0.0067,0.0940,0.3450,0.0001,0.0189,0.1808,0.2229,0.0137,0.1782,0.4324
0->3,A_slow,0.3992,0.0053,0.0088,0.2229,0.0067,0.0940,0.3450,0.0001,0.0189,0.1808,0.2229,0.0137,0.1782,0.4324
0->3,log_tau_fast,0.1177,0.0168,0.0145,0.3342,0.0036,0.0598,0.0311,0.0011,0.2232,0.3874,0.3342,0.2046,0.4432,0.1780
0->3,log_tau_mean,0.0047,0.0011,0.0566,0.0602,0.0066,0.0687,0.0027,0.0444,0.0696,0.0654,0.0602,0.0014,0.0876,0.0169
0->3,log_tau_middle,0.0987,0.0144,0.0402,0.5441,0.0156,0.0535,0.5677,0.0430,0.0754,0.5384,0.5441,0.2240,0.5331,0.7500
0->3,log_tau_slow,0.0987,0.0144,0.0402,0.5441,0.0156,0.0535,0.5677,0.0430,0.0754,0.5384,0.5441,0.2240,0.5331,0.7500
1->0,A_fast,0.2783,0.2423,0.0526,0.0732,0.0600,0.0532,0.1004,0.0239,0.1725,0.0603,0.0732,0.2242,0.0276,0.0293
1->0,A_middle,0.0105,0.0175,0.1205,0.0952,0.0043,0.0383,0.0270,0.0030,0.0108,0.1216,0.0952,0.0088,0.0406,0.0818
1->0,A_slow,0.1297,0.1150,0.4126,0.0386,0.2868,0.1790,0.0009,0.0676,0.1090,0.0010,0.0386,0.0369,0.0171,0.1276
1->0,log_tau_fast,0.0333,0.1742,0.0464,0.1673,0.2356,0.2222,0.0087,0.0451,0.1219,0.0913,0.1673,0.0974,0.0657,0.2912
1->0,log_tau_mean,0.0725,0.0143,0.0225,0.0077,0.0382,0.0142,0.0200,0.0000,0.0016,0.0013,0.0077,0.0042,0.0009,0.0608
1->0,log_tau_middle,0.0056,0.1615,0.0064,0.1463,0.1769,0.1766,0.0043,0.0369,0.0925,0.0938,0.1463,0.0794,0.0467,0.2268
1->0,log_tau_slow,0.0377,0.2012,0.1757,0.0839,0.2688,0.1663,0.0011,0.0376,0.1214,0.0214,0.0839,0.1330,0.0253,0.2008
1->2,A_fast,0.3257,0.1459,0.0781,0.0433,0.0114,0.0122,0.1047,0.0060,0.1480,0.0402,0.0433,0.2288,0.0328,0.0057
1->2,A_middle,0.0434,0.1602,0.0073,0.1101,0.1938,0.3047,0.0164,0.2245,0.1258,0.1041,0.1101,0.0077,0.0213,0.0478
1->2,A_slow,0.0139,0.1454,0.6341,0.0660,0.4710,0.2114,0.3005,0.4102,0.0388,0.1585,0.0660,0.1993,0.1649,0.0727
1->2,log_tau_fast,0.3881,0.3105,0.1015,0.0431,0.2642,0.3605,0.2795,0.4740,0.2297,0.0474,0.0431,0.0346,0.0000,0.0064
1->2,log_tau_mean,0.0012,0.1055,0.0167,0.3188,0.0669,0.1645,0.0546,0.0118,0.1196,0.2978,0.3188,0.1401,0.1910,0.3603
1->2,log_tau_middle,0.2393,0.1609,0.0274,0.1690,0.0470,0.1345,0.0116,0.0643,0.1241,0.2076,0.1690,0.0421,0.0611,0.0664
1->2,log_tau_slow,0.0818,0.0581,0.0010,0.1078,0.1160,0.1202,0.0434,0.0128,0.0353,0.0629,0.1078,0.0352,0.0433,0.2267
1->3,A_fast,0.2141,0.0227,0.0986,0.3588,0.0092,0.0590,0.0439,0.0013,0.1299,0.4922,0.3588,0.1205,0.3391,0.1716
1->3,A_middle,0.0317,0.0328,0.0008,0.0332,0.0154,0.0005,0.0189,0.0314,0.0080,0.0106,0.0332,0.2174,0.0183,0.1380
1->3,A_slow,0.5547,0.1036,0.0008,0.0547,0.0165,0.1003,0.1244,0.1530,0.1340,0.1032,0.0547,0.0016,0.0199,0.0088
1->3,log_tau_fast,0.0003,0.3296,0.3312,0.1389,0.3853,0.3260,0.0307,0.1482,0.2747,0.0572,0.1389,0.1097,0.0506,0.1758
1->3,log_tau_mean,0.0193,0.0555,0.0116,0.4915,0.0360,0.1563,0.2061,0.0001,0.1447,0.4482,0.4915,0.2707,0.4115,0.6364
1->3,log_tau_middle,0.0196,0.0826,0.0014,0.1747,0.0994,0.1394,0.0405,0.0143,0.0637,0.1330,0.1747,0.0673,0.0826,0.2668
1->3,log_tau_slow,0.4048,0.0288,0.0520,0.0135,0.0002,0.0000,0.2367,0.0394,0.0294,0.0042,0.0135,0.0012,0.0124,0.1383
2->0,A_fast,0.0462,0.0390,0.4129,0.2135,0.2819,0.0652,0.2701,0.2666,0.0009,0.3391,0.2135,0.3587,0.3360,0.1978
2->0,A_middle,0.2874,0.1372,0.1811,0.5205,0.1543,0.1676,0.0363,0.0028,0.3365,0.2490,0.5205,0.3523,0.3217,0.4689
2->0,A_slow,0.5790,0.0415,0.0632,0.7850,0.0950,0.1577,0.1669,0.0007,0.2175,0.5271,0.7850,0.3085,0.5361,0.6974
2->0,log_tau_fast,0.0003,0.0800,0.4148,0.1495,0.3039,0.1059,0.3594,0.3527,0.0051,0.2349,0.1495,0.3235,0.2742,0.2017
2->0,log_tau_mean,0.1330,0.0198,0.0960,0.5462,0.0393,0.0155,0.1533,0.0524,0.1624,0.6588,0.5462,0.5761,0.6134,0.4435
2->0,log_tau_middle,0.1948,0.2740,0.2476,0.1050,0.2601,0.2229,0.3480,0.3700,0.1711,0.2194,0.1050,0.2595,0.2502,0.1704
2->0,log_tau_slow,0.8002,0.3689,0.3194,0.5996,0.2596,0.1562,0.8668,0.5448,0.1296,0.8346,0.5996,0.5669,0.8419,0.7196
2->1,A_fast,0.0713,0.0034,0.1617,0.2092,0.1612,0.0358,0.1424,0.1978,0.0203,0.2876,0.2092,0.4873,0.3153,0.1972
2->1,A_middle,0.0074,0.1261,0.1656,0.2740,0.1853,0.4018,0.0005,0.2040,0.3019,0.2315,0.2740,0.0101,0.2100,0.1771
2->1,A_slow,0.0106,0.0988,0.5244,0.1275,0.3787,0.1369,0.3297,0.3648,0.0109,0.2320,0.1275,0.2768,0.2476,0.1441
2->1,log_tau_fast,0.2308,0.0003,0.1847,0.2532,0.1309,0.0021,0.0768,0.0564,0.0503,0.3967,0.2532,0.2437,0.3330,0.1197
2->1,log_tau_mean,0.0541,0.0025,0.1904,0.4651,0.1469,0.0026,0.2961,0.1697,0.0685,0.5943,0.4651,0.5839,0.6321,0.4300
2->1,log_tau_middle,0.2208,0.0030,0.1088,0.4878,0.1101,0.0007,0.1385,0.0786,0.1432,0.6446,0.4878,0.5559,0.6344,0.3232
2->1,log_tau_slow,0.0830,0.0931,0.0165,0.0001,0.0430,0.0176,0.0639,0.0259,0.0045,0.0002,0.0001,0.0006,0.0269,0.0012
2->3,A_fast,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2->3,A_middle,0.5078,0.1476,0.0194,0.3139,0.0057,0.1106,0.0170,0.0367,0.3410,0.3795,0.3139,0.2366,0.2959,0.0927
2->3,A_slow,0.0688,0.0013,0.0035,0.2901,0.0210,0.0239,0.0626,0.0035,0.1545,0.3452,0.2901,0.2026,0.4317,0.1712
2->3,log_tau_fast,0.1055,0.0111,0.0497,0.1290,0.0000,0.0477,0.0001,0.0182,0.1438,0.1553,0.1290,0.0444,0.1876,0.0335
2->3,log_tau_mean,0.3627,0.3485,0.1710,0.0535,0.2125,0.2279,0.2563,0.2500,0.2606,0.0424,0.0535,0.0185,0.0046,0.0005
