transition,kinetic_param,best_property,best_r_squared,best_p_value,n_points
0->1,log_tau_mean,mol_wt,0.7936,0.0071,7
0->1,A_slow,mol_wt,0.7252,0.0150,7
0->1,log_tau_slow,Kyte-Doolittle,0.6850,0.0215,7
0->1,A_fast,Rose,0.6267,0.0339,7
0->1,A_middle,Rose,0.5688,0.0502,7
0->1,log_tau_middle,Engelman_GES,0.2999,0.2032,7
0->1,log_tau_fast,Cornette,0.2915,0.2109,7
0->2,log_tau_mean,mol_wt,0.7722,0.0092,7
0->2,A_slow,mol_wt,0.7526,0.0114,7
0->2,log_tau_slow,aromaticity,0.5591,0.0533,7
0->2,log_tau_middle,aromaticity,0.4478,0.1002,7
0->2,A_middle,aromaticity,0.3954,0.1303,7
0->2,log_tau_fast,aromaticity,0.1948,0.3215,7
0->2,A_fast,Cornette,0.1021,0.4849,7
0->3,A_slow,Hopp-Woods,0.9534,0.0002,7
0->3,log_tau_slow,Janin,0.8106,0.0057,7
0->3,log_tau_mean,mol_wt,0.6715,0.0241,7
0->3,log_tau_fast,Song,0.6260,0.0341,7
0->3,log_tau_middle,num_rings,0.3863,0.1363,7
0->3,A_fast,Cornette,0.3298,0.1776,7
0->3,A_middle,num_rings,0.2866,0.2156,7
1->0,log_tau_slow,mol_wt,0.9370,0.0003,7
1->0,log_tau_mean,Hopp-Woods,0.8864,0.0015,7
1->0,log_tau_middle,Hopp-Woods,0.7595,0.0106,7
1->0,A_slow,Kyte-Doolittle,0.5425,0.0590,7
1->0,A_fast,num_rings,0.3137,0.1910,7
1->0,log_tau_fast,Song,0.2589,0.2435,7
1->0,A_middle,Hopp-Woods,0.2291,0.2773,7
1->2,log_tau_mean,Tanford,0.8739,0.0020,7
1->2,log_tau_slow,num_rings,0.7974,0.0068,7
1->2,log_tau_middle,mol_wt,0.6787,0.0227,7
1->2,A_slow,aromaticity,0.3970,0.1293,7
1->2,A_middle,Kyte-Doolittle,0.3577,0.1560,7
1->2,A_fast,Krantz,0.2884,0.2139,7
1->2,log_tau_fast,Kyte-Doolittle,0.2714,0.2306,7
1->3,A_fast,Kyte-Doolittle,0.6425,0.0302,7
1->3,log_tau_fast,Cornette,0.5635,0.0519,7
1->3,log_tau_mean,Hopp-Woods,0.4837,0.0827,7
1->3,A_slow,aromaticity,0.3511,0.1609,7
1->3,A_middle,aromaticity,0.3244,0.1819,7
1->3,log_tau_slow,Janin,0.2201,0.2883,7
1->3,log_tau_middle,Janin,0.0862,0.5228,7
2->0,A_middle,Cornette,0.5570,0.0884,6
2->0,log_tau_middle,Kyte-Doolittle,0.4821,0.1259,6
2->0,A_fast,mol_wt,0.4460,0.1011,7
2->0,A_slow,Cornette,0.4442,0.1483,6
2->0,log_tau_fast,Cornette,0.4351,0.1070,7
2->0,log_tau_mean,aromaticity,0.4326,0.1083,7
2->0,log_tau_slow,aromaticity,0.3413,0.2234,6
2->1,log_tau_middle,aromaticity,0.7791,0.0085,7
2->1,log_tau_mean,aromaticity,0.5978,0.0415,7
2->1,log_tau_fast,Krantz,0.4431,0.1027,7
2->1,A_slow,mol_wt,0.3687,0.1482,7
2->1,A_fast,Rose,0.3411,0.1686,7
2->1,log_tau_slow,aromaticity,0.3039,0.1996,7
2->1,A_middle,aromaticity,0.1753,0.3498,7
2->3,log_tau_fast,Eisenberg,0.8546,0.0029,7
2->3,log_tau_middle,Krantz,0.7911,0.0074,7
2->3,A_middle,Janin,0.7635,0.0101,7
2->3,log_tau_mean,Janin,0.5643,0.0516,7
2->3,A_fast,mol_wt,0.4460,0.1011,7
2->3,A_slow,mol_wt,0.3645,0.1511,7
2->3,log_tau_slow,Cornette,0.0898,0.5138,7
