transition,kinetic_param,Cornette,Eisenberg,Engelman_GES,Hopp-Woods,Janin,Krantz,Kyte-Doolittle,Ooi,Rose,Song,Tanford,aromaticity,mol_wt,num_rings
0->1,A_fast,0.5469,0.5551,0.0407,0.5824,0.1976,0.4301,0.0447,0.1627,0.6267,0.5819,0.5824,0.3849,0.3363,0.3057
0->1,A_middle,0.4095,0.4216,0.3417,0.2853,0.1698,0.2697,0.1215,0.1370,0.5688,0.2381,0.2853,0.3387,0.2089,0.1187
0->1,A_slow,0.0000,0.0092,0.0231,0.4591,0.0980,0.0000,0.3591,0.1472,0.0960,0.5116,0.4591,0.5663,0.7252,0.5004
0->1,log_tau_fast,0.2915,0.0852,0.0158,0.0089,0.0300,0.0208,0.1975,0.0970,0.0044,0.0017,0.0089,0.0439,0.0732,0.0829
0->1,log_tau_mean,0.0005,0.0216,0.1138,0.5096,0.1685,0.0073,0.5084,0.2675,0.0598,0.5885,0.5096,0.7153,0.7936,0.6116
0->1,log_tau_middle,0.1689,0.0081,0.2999,0.0941,0.1189,0.0062,0.0447,0.0270,0.0025,0.2000,0.0941,0.0340,0.1126,0.0214
0->1,log_tau_slow,0.1057,0.0803,0.1275,0.3524,0.1772,0.0235,0.6850,0.3362,0.0073,0.3854,0.3524,0.5056,0.6210,0.5817
0->2,A_fast,0.1021,0.0091,0.0000,0.0117,0.0475,0.0282,0.0232,0.0017,0.0003,0.0020,0.0117,0.0014,0.0009,0.0650
0->2,A_middle,0.0348,0.0958,0.1372,0.1214,0.0194,0.0232,0.0013,0.0013,0.1652,0.0810,0.1214,0.3954,0.1381,0.1340
0->2,A_slow,0.1335,0.0298,0.0011,0.6241,0.0093,0.0759,0.1134,0.0041,0.2995,0.7141,0.6241,0.4648,0.7526,0.4361
0->2,log_tau_fast,0.1261,0.0037,0.0183,0.0721,0.0277,0.0008,0.0001,0.0137,0.0755,0.0903,0.0721,0.1948,0.1428,0.0247
0->2,log_tau_mean,0.1697,0.0294,0.0331,0.6442,0.0373,0.0230,0.1436,0.0502,0.2487,0.7511,0.6442,0.7396,0.7722,0.5055
0->2,log_tau_middle,0.0516,0.0002,0.0001,0.2059,0.0775,0.0053,0.0775,0.0926,0.0816,0.2394,0.2059,0.4478,0.3667,0.1727
0->2,log_tau_slow,0.1272,0.0297,0.0094,0.2521,0.0241,0.0001,0.0326,0.0593,0.1131,0.2833,0.2521,0.5591,0.3062,0.2160
0->3,A_fast,0.3298,0.0318,0.0061,0.1152,0.0056,0.0169,0.0108,0.0057,0.1370,0.1642,0.1152,0.1039,0.1444,0.0137
0->3,A_middle,0.2545,0.0121,0.0037,0.1109,0.0859,0.1031,0.1327,0.0029,0.0190,0.0591,0.1109,0.0217,0.0719,0.2866
0->3,A_slow,0.2338,0.4651,0.1158,0.9534,0.2016,0.5475,0.0030,0.1123,0.8163,0.8853,0.9534,0.6226,0.7565,0.7127
0->3,log_tau_fast,0.3607,0.3485,0.0217,0.6098,0.1045,0.3395,0.0021,0.0897,0.5319,0.6260,0.6098,0.3726,0.4396,0.3591
0->3,log_tau_mean,0.0167,0.0382,0.2972,0.4253,0.2842,0.0366,0.4573,0.3237,0.0243,0.5679,0.4253,0.6307,0.6715,0.4457
0->3,log_tau_middle,0.0196,0.1151,0.0227,0.3726,0.0404,0.1370,0.0519,0.0035,0.1475,0.3662,0.3726,0.2338,0.2492,0.3863
0->3,log_tau_slow,0.0000,0.4240,0.6856,0.0129,0.8106,0.5972,0.2413,0.6185,0.2459,0.0018,0.0129,0.0420,0.0140,0.0064
1->0,A_fast,0.0251,0.0195,0.0017,0.2362,0.0209,0.0845,0.1076,0.0001,0.0842,0.2021,0.2362,0.1250,0.2264,0.3137
1->0,A_middle,0.0881,0.2017,0.0064,0.2291,0.1080,0.1984,0.0004,0.0637,0.1519,0.2270,0.2291,0.0810,0.0890,0.1725
1->0,A_slow,0.1215,0.1327,0.1132,0.1371,0.2718,0.1356,0.5425,0.5055,0.0043,0.1503,0.1371,0.5019,0.3583,0.3359
1->0,log_tau_fast,0.0018,0.0201,0.0716,0.2293,0.0081,0.0873,0.0822,0.0043,0.0498,0.2589,0.2293,0.0386,0.1618,0.2146
1->0,log_tau_mean,0.0906,0.3098,0.0899,0.8864,0.1378,0.4272,0.0347,0.0512,0.6546,0.8073,0.8864,0.6084,0.7696,0.7637
1->0,log_tau_middle,0.2364,0.4360,0.0305,0.7595,0.1918,0.4786,0.0004,0.1144,0.6110,0.7273,0.7595,0.4309,0.5151,0.5528
1->0,log_tau_slow,0.0295,0.0729,0.0004,0.8517,0.0000,0.1026,0.2262,0.0271,0.3548,0.8491,0.8517,0.8929,0.9370,0.8725
1->2,A_fast,0.0798,0.1451,0.0654,0.1318,0.1518,0.2884,0.0243,0.2159,0.1972,0.1254,0.1318,0.0001,0.0606,0.0424
1->2,A_middle,0.1210,0.2662,0.1159,0.0116,0.2988,0.1528,0.3577,0.2920,0.0516,0.0264,0.0116,0.0468,0.1167,0.0491
1->2,A_slow,0.2025,0.0461,0.0774,0.0665,0.0893,0.0827,0.3640,0.3654,0.0113,0.0497,0.0665,0.3970,0.1441,0.2949
1->2,log_tau_fast,0.0515,0.1630,0.1068,0.0289,0.2083,0.0785,0.2714,0.1848,0.0194,0.0527,0.0289,0.0442,0.1272,0.0561
1->2,log_tau_mean,0.1689,0.4236,0.0963,0.8739,0.2023,0.5191,0.0059,0.1041,0.7214,0.8006,0.8739,0.5465,0.6770,0.6867
1->2,log_tau_middle,0.0539,0.1063,0.0166,0.6642,0.0191,0.1889,0.0839,0.0031,0.3839,0.6555,0.6642,0.4803,0.6787,0.5709
1->2,log_tau_slow,0.0299,0.1953,0.0277,0.7711,0.0575,0.2287,0.0910,0.0008,0.4486,0.6951,0.7711,0.7420,0.7160,0.7974
1->3,A_fast,0.5763,0.3035,0.2702,0.0014,0.2702,0.2783,0.6425,0.6160,0.1906,0.0008,0.0014,0.1347,0.0502,0.1608
1->3,A_middle,0.0006,0.0600,0.0306,0.1657,0.0071,0.0134,0.0462,0.0249,0.0411,0.1432,0.1657,0.3244,0.1098,0.2691
1->3,A_slow,0.0219,0.1249,0.0000,0.1419,0.0287,0.0269,0.0025,0.0047,0.0828,0.1104,0.1419,0.3511,0.0822,0.2020
1->3,log_tau_fast,0.5635,0.1340,0.0092,0.0133,0.0025,0.0047,0.1836,0.0165,0.0921,0.0249,0.0133,0.0962,0.0025,0.0101
1->3,log_tau_mean,0.1373,0.1936,0.0250,0.4837,0.0550,0.2061,0.0059,0.0258,0.3693,0.4710,0.4837,0.3674,0.4067,0.3609
1->3,log_tau_middle,0.0198,0.0434,0.0007,0.0086,0.0862,0.0162,0.0142,0.0161,0.0033,0.0236,0.0086,0.0067,0.0653,0.0003
1->3,log_tau_slow,0.0000,0.1893,0.0526,0.0050,0.2201,0.0938,0.0525,0.0598,0.0369,0.0007,0.0050,0.0170,0.0139,0.0240
2->0,A_fast,0.0858,0.0027,0.0030,0.3053,0.0209,0.0252,0.0579,0.0034,0.1664,0.3647,0.3053,0.2222,0.4460,0.1765
2->0,A_middle,0.5570,0.1067,0.0189,0.0408,0.0662,0.0716,0.4718,0.3126,0.0355,0.0167,0.0408,0.2531,0.1922,0.3086
2->0,A_slow,0.4442,0.0582,0.0019,0.0432,0.0349,0.0466,0.3490,0.2450,0.0136,0.0148,0.0432,0.2827,0.1760,0.2885
