nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Phe,0,1,0.9814328721969218,-3689.7723253966305,0.8486872714276177,0.006892181705827455,0.011079979750578584,0.00014779803844417217,0.08122875237616399,0.00272938302220169,0.0837692771398661,0.00177921837960654,0.016207911651516232,9.535084735573813e-05
PA,guesthost_Phe,0,2,0.9866296962315257,-1915.9094308226036,0.6866510250780066,0.012723268060845888,0.007474743465024046,0.0002750218309656743,0.3045876982698185,0.008285103934818922,0.044353345311265356,0.0006523297216690832,0.018642023621378654,0.00011660323251743714
PA,guesthost_Phe,0,3,0.9953101570397215,-1049.434243541544,0.8204253333757351,0.015308530587502303,0.0083822066248181,0.00024615324120797404,0.32302828062994215,0.006375407594696581,0.0683584915093874,0.0008271747143719949,0.028958700643324595,0.0001647749660936641
PA,guesthost_Phe,1,0,0.8931488806314904,-1773.0338299177317,0.9999999999987793,0.07445656799386027,0.0022599961672938314,0.0002824904276781895,0.3311165081407451,0.05771973567847976,0.007165949055623874,0.0004122361286175619,0.00463276019610372,9.488879000013424e-05
PA,guesthost_Phe,1,2,0.9044958856845633,-4500.3563613656215,0.9999999874429554,0.031180579578681165,0.0026422236315175643,0.00014709738371641612,0.2592812863571882,0.031927543131696025,0.007499711279148797,0.00026565856542884995,0.004586758386104258,4.779696694932504e-05
PA,guesthost_Phe,1,3,0.9785197641631448,-1486.1469115302682,0.846594572470774,0.04012691444231831,0.0030974796445486954,0.00024036321283660148,0.46624104877933475,0.024352106648357005,0.012653881217218109,0.0002805077568080068,0.008522068305258524,7.337016440084118e-05
PA,guesthost_Phe,2,0,0.9124182646317243,-1039.89618373066,0.9999999998855437,0.09513315826543665,0.0023046427519311683,0.0003850305146473038,0.3638658405454813,0.07476041942266087,0.007302708629688106,0.0005099970288948348,0.004961848965467591,0.00011972927761749356
PA,guesthost_Phe,2,1,0.9842134385643295,-7987.083992817263,0.9999999999999999,0.03803168796782354,0.00489638367994869,0.0001367021765430886,0.28931738236468857,0.04381374471283326,0.00928549785555582,0.0003081103653671318,0.007582839613471028,2.3819284925377613e-05
PA,guesthost_Phe,2,3,0.8854989074275915,-866.7763028516711,0.9999999986307163,0.16116410760315242,0.0020258970573777454,0.000517659946713136,0.4079223183206752,0.10698399419845991,0.006548348303393304,0.0005812499052928686,0.004697114475695175,0.00018384738490450543
PA,guesthost_Phe,0,1,0.9814328721969218,-3689.7723253966305,0.8486872714276177,0.006892181705827455,0.011079979750578584,0.00014779803844417217,0.08122875237616399,0.00272938302220169,0.0837692771398661,0.00177921837960654,0.016207911651516232,9.535084735573813e-05
PA,guesthost_Phe,0,2,0.9866296962315257,-1915.9094308226036,0.6866510250780066,0.012723268060845888,0.007474743465024046,0.0002750218309656743,0.3045876982698185,0.008285103934818922,0.044353345311265356,0.0006523297216690832,0.018642023621378654,0.00011660323251743714
