Peptide,Transition_From,Transition_To,Slope_mV_inv,Effective_Charge_z_delta,R_Squared,P_Value,Intercept,N_Total_Events,N_Unique_Voltages
Ala,0,1,0.07221387221492633,-1.8558965159236065,0.6941747686386505,0.0014472136492283798,-5.582886993844525,11,11
Ala,0,2,0.015550479958147272,-0.39964733492438487,0.5450910779755233,0.003953062363768055,-3.6937600690757466,13,13
Ala,0,3,-0.002133473675438571,0.05483027345877127,0.016571064992354827,0.675126773642337,-3.054723220589841,13,13
Ala,1,0,-0.015910814280320887,0.4089079270042468,0.3680857658166106,0.047803006133938515,-4.57551042539208,11,11
Ala,1,2,-0.006987940310497369,0.1795900659797824,0.08196300943895389,0.39338593986190407,-4.338156633060731,11,11
Ala,1,3,-0.0016871847211004977,0.04336064733228279,0.003235976977466732,0.8680570918918206,-4.849625892976679,11,11
Ala,2,0,-0.034933483099275624,0.8977905156513835,0.6826192376289645,0.0004994525034618495,-3.3824462817572547,13,13
Ala,2,1,-0.04406013050321709,1.132345353932679,0.9837639452169585,2.3059333817021366e-09,-2.159785316212185,11,11
Ala,2,3,-0.00282916860044943,0.07270963303155036,0.10495240407143226,0.2802151138371397,-4.5202155582996815,13,13
Leu,0,1,0.008230921097659485,-0.21153467220984876,0.02450241443131089,0.627094052249934,-3.061522253739931,12,12
Leu,0,2,0.03727752414168422,-0.9580323704412844,0.5249202823966382,0.0033801224928928304,-3.8560054557279915,14,14
Leu,0,3,0.01007088504816197,-0.2588217457377626,0.03350735304065187,0.5310638957827953,-2.720328291247521,14,14
Leu,1,0,-0.013573808533751064,0.3488468793174023,0.22927535852777503,0.1152845560352814,-4.35211343490502,12,12
Leu,1,2,-0.007223288418991926,0.18563851236809248,0.261480786381518,0.08928089006181672,-4.146261057957693,12,12
Leu,1,3,0.009882299070343771,-0.2539750861078349,0.1378923744634553,0.2346556664986762,-5.305984792287168,12,12
Leu,2,0,-0.0035070378375526754,0.09013087242510376,0.04717810446695869,0.4557209446908481,-5.303978724634369,14,14
Leu,2,1,-0.004057758451172035,0.10428439219512131,0.0626822738414771,0.43254379557736367,-4.27061725540464,12,12
Leu,2,3,0.00731734043872126,-0.18805564927513638,0.6133889521833532,0.0009228887911321376,-5.170312576936209,14,14
Phe,0,1,0.018017587350131713,-0.463051994898385,0.4691508396854454,0.009785971469720023,-3.8958749636370813,18,13
Phe,0,2,0.036137690644465995,-0.9287386495627761,0.4421787002606915,0.013141235395736445,-4.137099095849807,18,13
Phe,0,3,-0.0014351928154326522,0.03688445535661916,0.0065609154184651216,0.7831107592559721,-2.6044031661526494,19,14
Phe,1,0,-0.0197472565303143,0.5075044928290775,0.7682182756053668,8.451899754292431e-05,-3.7115060865081606,18,13
Phe,1,2,-0.012392894867440853,0.3184973980932299,0.7642229114996143,9.304701324229819e-05,-4.012856142475298,18,13
Phe,1,3,-0.00569872159595047,0.14645714501592708,0.0369926624478769,0.5290088745613588,-4.299127591560405,18,13
Phe,2,0,-0.005924340220966726,0.15225554367884486,0.1043713394762562,0.28162772423275423,-4.552584113824532,18,13
Phe,2,1,0.0018030525223719418,-0.046338449824958904,0.01884563586306741,0.6547144695944661,-4.1761166588660945,18,13
Phe,2,3,0.014172648513117616,-0.3642370667871227,0.5237462880545477,0.00516603183152406,-5.543429120145937,18,13
Thr,0,1,0.010606265051124636,-0.27258101181390315,0.32723262763887895,0.06594043357138638,-3.6998883577236064,18,11
Thr,0,2,-0.006006926171239677,0.1543780026008597,0.18332571719749327,0.16495129138797474,-3.1438100901319554,19,12
Thr,0,3,-0.015768750684316345,0.40525689258693004,0.5175904038847938,0.008351448872364007,-3.0558428417406303,19,12
Thr,1,0,-0.013536627383888458,0.34789132376593335,0.574828534894765,0.006848927937479714,-4.8211132400931485,18,11
Thr,1,2,-0.0014541039190958454,0.03737047072076323,0.00621006642297169,0.8178509338230899,-4.895030612590318,18,11
Thr,1,3,0.007306135927075696,-0.18776769332584536,0.12099760848011049,0.29453056687691603,-5.399362845978617,18,11
Thr,2,0,-0.030173828149410383,0.7754673834398468,0.8719640852378897,8.960356061340057e-06,-3.7260508680821207,19,12
Thr,2,1,-0.045412507795616716,1.1671014503473496,0.9664660851239044,6.074411377343767e-08,-2.01681728956156,18,11
Thr,2,3,0.0029152045072669865,-0.07492075583676155,0.11545497544541235,0.2798731558047544,-4.853543620525571,19,12
Trp,0,1,0.037224550297141785,-0.9566709426365438,0.6777375604120657,0.044100840414780684,-4.624806642437401,13,6
Trp,0,2,0.0037228720357028616,-0.09567781131756355,0.4825018135407596,0.01768771950241944,-2.8244002101232706,22,11
Trp,0,3,0.006593761269351827,-0.16945966462234197,0.011463922201786877,0.7540247707175205,-1.50772724801579,20,11
Trp,1,0,0.001215421095883006,-0.03123632216419325,0.006689837296119485,0.8775864473156183,-4.481590289082261,13,6
Trp,1,2,0.042708646061841236,-1.0976122037893197,0.8823206993184727,0.005411507902637169,-6.780821655151744,13,6
Trp,1,3,0.028133505173384848,-0.7230310829559906,0.26831312231577437,0.2925074397649282,-5.118672823213892,13,6
Trp,2,0,-0.011413532307889282,0.2933277803127545,0.5820970155537724,0.006307816539125073,-3.745602568236758,22,11
Trp,2,1,-0.006527554664787015,0.1677581548850263,0.5673295504878522,0.0838407166885592,-3.736818323529426,13,6
Trp,2,3,-0.009760119249996707,0.25083506472491535,0.20148024369312487,0.16609508517138064,-4.515996081591946,22,11
Tyr,0,1,0.004000118291223058,-0.1028030400844326,0.09165579480668366,0.3388194482044097,-2.8167290746138103,12,12
Tyr,0,2,0.01265356237300506,-0.32519655298623,0.06645940566265272,0.3951274490673464,-2.7155935202509554,13,13
Tyr,0,3,-0.0348995721534961,0.8969190043448498,0.4858011289578641,0.036918684652874616,-1.1977673705539122,9,9
Tyr,1,0,-0.010766766265397777,0.27670589302072285,0.22909775686746153,0.11544570228051315,-4.317846976091495,12,12
Tyr,1,2,0.0014395163494789114,-0.03699557018160802,0.014404028350854433,0.7102455443307403,-4.81969629695578,12,12
Tyr,1,3,0.000143028366052746,-0.003675829007555572,2.5816368641388264e-05,0.9874964535458854,-4.9625414975379725,12,12
Tyr,2,0,-0.0365906793916592,0.9403804603656414,0.9475386995432952,2.1896254365482055e-08,-1.7127147964289409,13,13
Tyr,2,1,-0.020141940269720094,0.5176478649318064,0.5762046968833949,0.004195392724779529,-1.6322684234430547,12,12
Tyr,2,3,0.024731842772507808,-0.6356083592534506,0.4396218819009443,0.013505141633991196,-5.526716145586374,13,13
