peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Thr,PA,40,7.4,0,1,2-exp,-270.533,0.983081,0.0409172,0.00287107,0.038187,0.886203,0.00328855,0.0428421,0.199707,0.0354309,0.248014,0.0512475,0.199707,0.0354309,0.248014,0.0512475
guesthost_Thr,PA,40,7.4,0,2,2-exp,-341.94,0.990511,0.0488285,0.000585349,0.0145846,0.462063,0.00397834,0.0632476,0.0546279,0.770475,0.00187375,0.0634584,0.0546279,0.770475,0.00187375,0.0634584
guesthost_Thr,PA,40,7.4,0,3,2-exp,-133.41,0.964026,0.0502049,0.00172854,0.0117127,1.0,0.00314732,0.185567,0.09314,0.413273,0.00942791,0.0655885,0.09314,0.413273,0.00942791,0.0655885
guesthost_Thr,PA,40,7.4,1,0,1-exp,-73.9294,0.777726,0.0052777,0.000425354,0.0052777,0.854996,0.000425354,0.0767012,,,,,,,,
guesthost_Thr,PA,40,7.4,1,2,2-exp,-226.774,0.97959,0.0143674,0.000284057,0.00750015,0.94304,0.000883995,0.0601672,0.0320805,0.227378,0.00512797,0.0668129,0.0320805,0.227378,0.00512797,0.0668129
guesthost_Thr,PA,40,7.4,1,3,2-exp,-147.483,0.959225,0.00917017,0.000288872,0.00330724,0.847065,0.000914524,0.119431,0.0174393,0.365194,0.00215328,0.0823327,0.0174393,0.365194,0.00215328,0.0823327
guesthost_Thr,PA,40,7.4,2,0,2-exp,-107.975,0.785125,0.00397354,0.00176281,0.00145704,0.999999,0.00436539,1.00809,0.00284469,0.884632,0.00174419,2.90261,0.00284469,0.884632,0.00174419,2.90261
guesthost_Thr,PA,40,7.4,2,1,1-exp,-195.266,0.981072,0.0174312,0.000356986,0.0174312,1.07221,0.000356986,0.0296025,,,,,,,,
guesthost_Thr,PA,40,7.4,2,3,2-exp,-718.999,0.937305,0.00755016,0.000164145,0.00371656,1.0,0.000641664,0.128186,0.00876255,0.437497,0.00088928,0.168486,0.00876255,0.437497,0.00088928,0.168486
guesthost_Ala,PA,35,20.0,0,1,3-exp,-4901.84,0.996954,0.0338897,0.00018904,0.0115838,0.323446,0.0011126,0.0465619,0.0247471,0.804752,0.000484986,0.0505093,1.0,0.0102277,0.0259949,0.000275467
guesthost_Ala,PA,35,20.0,0,2,3-exp,-5795.28,0.997827,0.0330673,7.03767e-05,0.0152524,0.675974,0.000779136,0.0621875,0.0296856,0.612593,0.000935794,0.0672221,0.30696,0.0148941,0.00767043,0.000537438
guesthost_Ala,PA,35,20.0,0,3,3-exp,-2091.43,0.995579,0.028927,,0.0209926,0.625044,318.5,396127.0,0.0209926,0.60505,329.023,396127.0,0.107776,0.0288013,0.0139239,0.00736361
guesthost_Ala,PA,35,20.0,1,0,3-exp,-2146.26,0.947759,0.008343,0.000261474,0.00177995,1.0,0.000781937,0.170245,0.00513461,0.523404,0.00127705,0.297767,0.0401166,0.0966078,0.0017891,0.00807087
guesthost_Ala,PA,35,20.0,1,2,2-exp,-4028.4,0.993233,0.0204196,6.46352e-05,0.00563154,0.598997,0.000170257,0.0097667,0.0361015,0.472178,0.000221252,0.00551882,0.0361015,0.472178,0.000221252,0.00551882
guesthost_Ala,PA,35,20.0,1,3,3-exp,-1856.92,0.988072,0.0179825,0.0171897,0.00370753,0.704505,0.00026718,0.0268922,0.0297021,0.474918,0.00104167,0.012812,1.0,0.00126445,16.4317,0.00393764
guesthost_Ala,PA,35,20.0,2,0,2-exp,-1694.55,0.878186,0.00814308,0.000153322,0.00248587,1.0,0.00026708,0.0998633,0.0265597,0.212999,0.000961835,0.0129191,0.0265597,0.212999,0.000961835,0.0129191
guesthost_Ala,PA,35,20.0,2,1,2-exp,-4697.42,0.997514,0.0278028,4.92723e-05,0.0230898,1.0,0.000196757,0.00754956,0.0559984,0.084163,0.00176393,0.00869881,0.0559984,0.084163,0.00176393,0.00869881
guesthost_Ala,PA,35,20.0,2,3,3-exp,-5732.57,0.973973,0.00832996,9.70447e-05,0.00347182,0.383135,2.22783,1068930.0,0.00347351,0.82746,1.18895,1068930.0,0.0203286,0.202946,0.000382276,0.00885001
guesthost_Ala,PA,40,20.0,0,1,3-exp,-3643.04,0.997032,0.0253625,0.000145449,0.0150249,1.0,0.000282421,0.0181151,0.0406086,0.182633,0.00212084,0.0206889,0.554064,0.00527228,0.0613251,0.000566513
guesthost_Ala,PA,40,20.0,0,2,3-exp,-3973.83,0.996437,0.0481885,0.000314141,0.0138847,1.0,0.000505942,0.0355698,0.0349006,0.372425,0.00159339,0.0431569,1.0,0.0213059,0.020203,0.000489867
guesthost_Ala,PA,40,20.0,0,3,3-exp,-947.874,0.990537,0.042105,0.000715042,0.00750374,1.0,0.00110329,0.0754821,0.0257532,0.540106,0.00236041,0.0894458,0.433541,0.0477275,0.0249926,0.00360306
guesthost_Ala,PA,40,20.0,1,0,2-exp,-1327.69,0.943128,0.00700915,0.000104481,0.00248648,1.0,0.000256143,0.0839845,0.0135633,0.333449,0.00044219,0.0223787,0.0135633,0.333449,0.00044219,0.0223787
guesthost_Ala,PA,40,20.0,1,2,3-exp,-3922.0,0.994074,0.0148171,6.33482e-05,0.00536758,0.573176,0.000292178,0.0203014,0.0199221,0.557773,0.0006941,0.0197016,0.083825,0.00749827,0.0403936,0.00646722
guesthost_Ala,PA,40,20.0,1,3,2-exp,-1419.82,0.986132,0.0145999,9.49424e-05,0.00552684,0.37922,0.000865323,0.0362612,0.0170553,0.733144,0.000354899,0.0424142,0.0170553,0.733144,0.000354899,0.0424142
guesthost_Ala,PA,40,20.0,2,0,2-exp,-963.867,0.777797,0.0043976,0.000139265,0.00306465,1.0,0.000172185,0.0525678,0.0463399,0.0287648,0.00684119,0.00470231,0.0463399,0.0287648,0.00684119,0.00470231
